date,age_,gender__,state,current_status,exam_year,exam_score,intended_course_of_study,secondary_school_attended_,study_hours_per_week,preparation_time_,tutorial_centres,past_questions_usage,mock_exam_,access_to_learning_materials_,reliable_internet_access_during_preparation,smartphone_access,desktop_access,laptop_access,tablet_access,no_device,technical_challenges_during_exam,performance_satisfaction,major_reasons_for_your_jamb_performance,no_issues,system_issues,portal_error,power_outage,network_problem,result
04/06/2025,20,Female,Abia,University/polytechnic student,2022,280,Computer Science ,Private,16–20,1–3 months before,No,"Yes, occasionally",No,Excellent,Yes,Yes,No,No,No,No,No,Yes,I read well,Yes,No,No,No,No,Pass
04/06/2025,20,Female,Anambra,University/polytechnic student,2021,186,Computer Engineering ,Federal ,6–10,4–6 months before,No,"Yes, regularly",Yes,Excellent,Sometimes,No,No,No,Yes,No,No,No,Good ,Yes,No,No,No,No,Fail
04/06/2025,20,Female,Anambra,University/polytechnic student,2021,192,Medicine,Mission/Religious,6–10,1–3 months before,No,"Yes, regularly",No,Excellent,No,No,No,No,No,Yes,Yes,No,Not enough preparation and system issues,No,Yes,No,No,No,Fail
04/06/2025,25,Male,Anambra,University/polytechnic student,2023,205,Psychology ,Mission/Religious,6–10,4–6 months before,Yes,"Yes, occasionally",No,Fair,Yes,Yes,No,No,No,No,Yes,Yes,Nothing ,No,No,Yes,No,No,Pass
04/06/2025,20,Female,Bayelsa,University/polytechnic student,2023,221,Nursing,Private,More than 20,More than 6 months before,No,"Yes, occasionally",No,Good,Sometimes,Yes,No,No,No,No,No,No,Didnt study enough,Yes,No,No,No,No,Pass
04/06/2025,22,Male,Delta,University/polytechnic student,2020,184,Electrical Engineering,Public,6–10,1–3 months before,Yes,"Yes, occasionally",No,Fair,Yes,Yes,No,No,No,No,No,No,peer group,Yes,No,No,No,No,Fail
04/06/2025,20,Male,Kaduna,University/polytechnic student,2021,201,Electrical Engineering ,Mission/Religious,0–5,Less than 1 month before,No,"Yes, occasionally",No,Fair,Yes,Yes,No,Yes,No,No,No,No,Don't know actually ,Yes,No,No,No,No,Pass
04/06/2025,20,Female,Anambra,University/polytechnic student,2021,228,Medical Rehabilitation ,Mission/Religious,16–20,1–3 months before,No,"Yes, occasionally",No,Fair,No,No,No,No,No,Yes,No,No,A lot of pressure and tension,Yes,No,No,No,No,Pass
04/06/2025,20,Female,Anambra,University/polytechnic student,2021,176,Nutrition ,Mission/Religious,11–15,Less than 1 month before,No,"Yes, occasionally",No,Fair,No,No,No,No,No,Yes,Yes,No,Less preparation ,No,Yes,No,No,No,Fail
04/06/2025,21,Male,Anambra,University/polytechnic student,2021,224,Electrical Engineering ,Mission/Religious,0–5,Less than 1 month before,No,"Yes, occasionally",Yes,Good,Sometimes,Yes,No,No,No,No,No,Not sure,It was my first tym writing CBT exam and tension and I didn't read well,Yes,No,No,No,No,Pass
04/06/2025,19,Male,Lagos,University/polytechnic student,2021,200,Electrical Engineering ,Private,0–5,4–6 months before,Yes,"Yes, regularly",Yes,Fair,No,No,No,No,No,Yes,No,Yes,Because it was what I read,Yes,No,No,No,No,Pass
04/06/2025,20,Female,Anambra,University/polytechnic student,2021,250,Pharmacy ,Mission/Religious,More than 20,More than 6 months before,No,"Yes, regularly",Yes,Good,Yes,No,No,No,No,Yes,Yes,Not sure,Unknown,No,Yes,No,No,No,Pass
04/06/2025,20,Female,Anambra,University/polytechnic student,2021,280,Medicine And Surgery ,Mission/Religious,More than 20,More than 6 months before,No,"Yes, regularly",No,Good,Sometimes,No,No,Yes,No,No,No,Yes,Consistent studies ,Yes,No,No,No,No,Pass
04/06/2025,20,Female,Anambra,University/polytechnic student,2021,220,Electrical Engineering ,Mission/Religious,6–10,1–3 months before,No,"Yes, occasionally",No,Excellent,No,No,No,No,No,Yes,No,No,I studied well and revised last questions ,Yes,No,No,No,No,Pass
04/06/2025,21,Male,Abia,University/polytechnic student,2021,180,Electrical Engineering ,Private,6–10,1–3 months before,No,No,No,Good,Yes,Yes,No,No,No,No,No,No,Poor reading,Yes,No,No,No,No,Fail
04/06/2025,22,Male,Anambra,University/polytechnic student,2021,201,Electronics And Computer Engineering ,Mission/Religious,16–20,1–3 months before,No,"Yes, regularly",No,Good,No,No,No,Yes,No,No,No,No,Some of the answers were not there and also the time was not enough,Yes,No,No,No,No,Pass
04/06/2025,21,Female,Anambra,University/polytechnic student,2021,230,Nursing,Mission/Religious,More than 20,More than 6 months before,No,"Yes, regularly",Yes,Good,Sometimes,No,Yes,No,No,No,No,No,"I don't really know, but I expected something higher",Yes,No,No,No,No,Pass
04/06/2025,17,Female,Anambra,University/polytechnic student,2021,245,Medicine And Surgery ,Mission/Religious,6–10,1–3 months before,No,"Yes, occasionally",Yes,Fair,No,No,No,No,No,Yes,Yes,No,My physics ,No,Yes,No,No,No,Pass
04/06/2025,22,Male,Delta,University/polytechnic student,2021,221,Electrical Engineering ,Private,6–10,More than 6 months before,Yes,"Yes, regularly",No,Good,Yes,Yes,Yes,Yes,No,No,No,Yes,To pass and enter the university and study my preferred course ,Yes,No,No,No,No,Pass
04/06/2025,23,Male,Anambra,University/polytechnic student,2020,230,Engineering ,Mission/Religious,6–10,1–3 months before,Yes,"Yes, regularly",Yes,Good,Yes,Yes,No,No,No,No,No,Yes,It was solely based on my performance ,Yes,No,No,No,No,Pass
04/06/2025,22,Female,FCT(Abuja),University/polytechnic student,2021,219,Accounting ,Public,16–20,More than 6 months before,Yes,"Yes, regularly",No,Good,Sometimes,Yes,No,No,No,No,Yes,No,Alot,No,Yes,No,No,No,Pass
04/06/2025,25,Female,Bayelsa,University/polytechnic student,2024,212,Microbiology ,Private,6–10,1–3 months before,No,"Yes, occasionally",No,Good,Yes,Yes,No,No,No,No,No,Not sure,I feel I didn't study more.,Yes,No,No,No,No,Pass
04/06/2025,20,Prefer not to say,Lagos,University/polytechnic student,2020,270,Electrical Engineering ,Private,16–20,1–3 months before,No,"Yes, occasionally",No,Good,Yes,Yes,No,Yes,No,No,No,Not sure,"I put in my best effort, so the result was unexpected. I'm still reflecting on what might have gone wrong to better understand and improve.",Yes,No,No,No,No,Pass
04/06/2025,21,Male,Kaduna,University/polytechnic student,2020,240,Electrical Engineering ,Private,6–10,4–6 months before,No,"Yes, regularly",Yes,Good,No,No,No,No,No,Yes,No,Yes,"Well i read extensively, and i attended a good secondary school, students rarely failed jamb in that school ",Yes,No,No,No,No,Pass
04/06/2025,20,Female,Anambra,University/polytechnic student,2021,217,Medicine And Surgery ,Mission/Religious,16–20,More than 6 months before,No,"Yes, occasionally",No,Good,Sometimes,No,Yes,Yes,No,No,No,No,Maybe I didn't study well enough,Yes,No,No,No,No,Pass
04/06/2025,18,Female,Lagos,University/polytechnic student,2021,296,Computer Science ,Private,6–10,More than 6 months before,No,"Yes, regularly",Yes,Good,Yes,No,No,Yes,No,No,Yes,Yes,Hard work ,No,Yes,No,No,No,Pass
04/06/2025,22,Male,Anambra,University/polytechnic student,2022,255,Pharmacy ,Private,0–5,1–3 months before,No,"Yes, occasionally",No,Excellent,Yes,Yes,No,No,No,No,No,Not sure,The method I used in studying ,Yes,No,No,No,No,Pass
05/06/2025,20,Female,Anambra,University/polytechnic student,2021,218,Electrical Engineering ,Mission/Religious,11–15,4–6 months before,No,"Yes, occasionally",Yes,Good,No,No,No,No,No,Yes,No,Not sure,I guess didn’t study enough ,Yes,No,No,No,No,Pass
05/06/2025,18,Male,Anambra,University/polytechnic student,2022,251,Computer Science ,Private,0–5,Less than 1 month before,No,"Yes, occasionally",No,Good,Yes,Yes,No,Yes,Yes,No,No,Yes,I was just scared shaa. I never for once read or practiced until the week of my exam. I was to write on may 6th my study started on like april 29th. Turned out to be easier than i thought,Yes,No,No,No,No,Pass
05/06/2025,20,Male,Anambra,University/polytechnic student,2022,255,Computer Science ,Private,16–20,4–6 months before,Yes,"Yes, regularly",No,Good,Sometimes,Yes,No,No,No,No,No,Not sure,Consistency in practice ,Yes,No,No,No,No,Pass
05/06/2025,25,Female,Ogun,Graduate,2020,320,Medicine And Surgery ,Mission/Religious,More than 20,More than 6 months before,Yes,"Yes, regularly",No,Good,Yes,Yes,No,No,No,No,No,Yes,My hardwork ,Yes,No,No,No,No,Pass
05/06/2025,21,Male,Enugu,University/polytechnic student,2022,286,Computer Science ,Private,11–15,1–3 months before,Yes,"Yes, regularly",Yes,Good,Sometimes,Yes,No,Yes,No,No,No,Yes,A good teacher and willingness to work hard from me,Yes,No,No,No,No,Pass
05/06/2025,20,Male,Lagos,University/polytechnic student,2022,221,Mechanical Engineering ,Private,6–10,1–3 months before,No,"Yes, occasionally",No,Good,Yes,Yes,No,No,No,No,No,Yes,I didn't prepare enough ,Yes,No,No,No,No,Pass
05/06/2025,20,Female,Anambra,University/polytechnic student,2021,208,Medicine ,Public,0–5,More than 6 months before,No,"Yes, regularly",Yes,Fair,No,No,No,No,No,Yes,Yes,No,I didn’t study harder ,No,No,No,Yes,No,Pass
05/06/2025,23,Male,Ebonyi,Graduate,2020,295,Marketing Management ,Private,0–5,Less than 1 month before,Yes,No,Yes,Excellent,Yes,Yes,No,Yes,No,No,No,Yes,I just had to do well,Yes,No,No,No,No,Pass
05/06/2025,18,Female,Anambra,University/polytechnic student,2025,252,Law,Private,6–10,Less than 1 month before,No,"Yes, regularly",No,Poor,Yes,Yes,No,No,No,No,No,No,Not enough studying ,Yes,No,No,No,No,Pass
05/06/2025,30,Male,Delta,Graduate,2020,219,Marketing,Public,0–5,Less than 1 month before,Yes,"Yes, regularly",No,Good,Yes,Yes,No,No,No,No,Yes,No,Study,No,Yes,No,No,No,Pass
05/06/2025,27,Male,Benue,Graduate,2020,195,Accounting ,Public,0–5,Less than 1 month before,Yes,No,No,Poor,Yes,No,No,No,No,Yes,No,Yes,Because I studied and prepared for it's ,Yes,No,No,No,No,Fail
05/06/2025,21,Male,Bayelsa,Graduate,2020,215,Marketing ,Private,6–10,4–6 months before,No,"Yes, regularly",Yes,Fair,Yes,Yes,No,No,No,No,No,No,Pressure ,Yes,No,No,No,No,Pass
05/06/2025,26,Female,Imo,University/polytechnic student,2020,215,Public Health,Private,11–15,More than 6 months before,Yes,"Yes, regularly",Yes,Good,Sometimes,Yes,No,No,No,No,Yes,No,I really can't say,No,No,No,No,Yes,Pass
05/06/2025,20,Female,Lagos,University/polytechnic student,2024,182,Public Administration ,Public,6–10,4–6 months before,Yes,"Yes, regularly",No,Good,Sometimes,No,No,Yes,No,No,Yes,No,The system ,Yes,No,No,No,No,Fail
05/06/2025,20,Female,Lagos,University/polytechnic student,2022,250,Computer Science ,Private,6–10,4–6 months before,No,"Yes, regularly",No,Excellent,Sometimes,Yes,No,No,No,No,No,Yes,Regular studying,Yes,No,No,No,No,Pass
05/06/2025,19,Female,Anambra,University/polytechnic student,2022,292,Computer Science ,Mission/Religious,0–5,Less than 1 month before,No,"Yes, occasionally",No,Good,Sometimes,No,No,Yes,No,No,No,Yes,God's grace ,Yes,No,No,No,No,Pass
05/06/2025,21,Male,Kano,Secondary school student,2020,213,Biology,Private,6–10,Less than 1 month before,Yes,"Yes, regularly",No,Good,Sometimes,No,No,Yes,No,No,No,Yes,To pass,Yes,No,No,No,No,Pass
05/06/2025,22,Male,Imo,University/polytechnic student,2020,213,Accounting ,Public,More than 20,4–6 months before,Yes,"Yes, regularly",No,Good,Sometimes,Yes,No,No,No,No,Yes,Not sure,I study harder for it but I felt like the system are not that satisfying.,No,Yes,No,Yes,No,Pass
05/06/2025,24,Female,Edo,Graduate,2020,170,Banking And Finance,Public,6–10,Less than 1 month before,Yes,No,No,Excellent,No,Yes,No,No,No,No,Yes,No,Nothing it just happened that way ,No,Yes,No,No,No,Fail
05/06/2025,24,Female,Bayelsa,University/polytechnic student,2021,167,Medical Laboratory Science ,Private,0–5,4–6 months before,No,"Yes, occasionally",No,Good,Sometimes,Yes,No,No,No,No,No,Not sure,No enough preparation ,Yes,No,No,No,No,Fail
05/06/2025,22,Male,Anambra,University/polytechnic student,2022,231,Computer Science ,Mission/Religious,More than 20,4–6 months before,No,"Yes, regularly",No,Excellent,Sometimes,Yes,No,Yes,No,No,No,No,Delay ,Yes,No,No,No,No,Pass
05/06/2025,23,Female,Lagos,University/polytechnic student,2020,262,Medicine ,Private,6–10,1–3 months before,Yes,"Yes, regularly",No,Good,Sometimes,No,No,No,No,Yes,No,Yes,That was the best I could. My result equates to my preparation.,Yes,No,No,No,No,Pass
05/06/2025,24,Male,Rivers,Graduate,2020,224,Business Administration ,Private,0–5,Less than 1 month before,No,No,No,Excellent,Yes,Yes,No,No,No,No,No,Yes,Enough time for preparation and it being a computer based test.,Yes,No,No,No,No,Pass
05/06/2025,16,Female,Bayelsa,Secondary school certificate holder ,2025,279,Civil Law ,Private,6–10,4–6 months before,Yes,"Yes, regularly",No,Good,Yes,Yes,No,No,No,No,No,Yes,Not enough preparation ,Yes,No,No,No,No,Pass
05/06/2025,22,Male,Lagos,University/polytechnic student,2023,240,Architecture ,Private,6–10,Less than 1 month before,No,"Yes, regularly",No,Good,No,No,No,No,No,Yes,No,Not sure,Lack of preparation ,Yes,No,No,No,No,Pass
05/06/2025,20,Male,Lagos,University/polytechnic student,2024,240,Food Science And Technology ,Private,0–5,1–3 months before,No,"Yes, regularly",No,Good,Yes,Yes,No,No,No,No,No,Yes,The grace of God,Yes,No,No,No,No,Pass
05/06/2025,26,Female,Bayelsa,Graduate,2020,234,Pharmacy ,Private,More than 20,1–3 months before,Yes,"Yes, regularly",No,Good,Yes,Yes,No,No,No,No,No,Yes,My rate or level of dedicated hours of studying ,Yes,No,No,No,No,Pass
05/06/2025,19,Female,Plateau,Secondary school student,2025,183,Nursing ,Mission/Religious,6–10,More than 6 months before,Yes,"Yes, occasionally",No,Good,Yes,Yes,No,No,No,No,No,No,The questions weren't familiar with what i studied ,Yes,No,No,No,No,Fail
05/06/2025,17,Female,Bayelsa,Secondary school student,2024,217,Pharmacy ,Public,More than 20,4–6 months before,No,"Yes, occasionally",No,Good,Yes,Yes,No,No,No,No,No,No,Not reading enough ,Yes,No,No,No,No,Pass
05/06/2025,19,Female,Plateau,Secondary school student,2025,177,Medicine And Surgery,Private,6–10,1–3 months before,Yes,"Yes, regularly",Yes,Good,Yes,Yes,No,No,No,No,No,No,To pass the exam and go to the university,Yes,No,No,No,No,Fail
05/06/2025,20,Male,Bayelsa,University/polytechnic student,2024,179,Law,Public,6–10,1–3 months before,Yes,No,No,Good,Yes,Yes,No,No,No,No,Yes,No,No chance ,No,No,Yes,No,No,Fail
05/06/2025,20,Female,Anambra,University/polytechnic student,2021,273,Computer Sciences,Mission/Religious,0–5,More than 6 months before,No,"Yes, regularly",Yes,Fair,No,No,No,No,No,Yes,No,Not sure,I don't really know ,Yes,No,No,No,No,Pass
05/06/2025,27,Female,Kano,Graduate,2020,214,Medicine And Surgery,Private,0–5,More than 6 months before,No,"Yes, occasionally",No,Fair,No,No,No,No,No,Yes,Yes,Not sure,Questionable authenticity of JAMB,No,Yes,No,No,No,Pass
05/06/2025,24,Female,Anambra,Graduate,2020,220,Nursing ,Mission/Religious,6–10,4–6 months before,Yes,"Yes, occasionally",No,Fair,Yes,Yes,No,No,No,No,No,Not sure,Not soo perfect for the course I wanted to study.,Yes,No,No,No,No,Pass
05/06/2025,20,Female,Lagos,University/polytechnic student,2022,230,Computer Science ,Private,6–10,4–6 months before,No,"Yes, regularly",No,Good,No,No,No,No,No,Yes,Yes,Not sure,I don't know ,No,Yes,No,No,No,Pass
06/06/2025,19,Male,Rivers,University/polytechnic student,2021,181,Electrical Engineering ,Mission/Religious,More than 20,More than 6 months before,No,"Yes, regularly",No,Fair,No,No,No,No,No,Yes,No,No,"I think for there to be repeated amount of massive failures every year then there's a problem with either the system Marking scheme, the question or the providers to the already set exam questions ",Yes,No,No,No,No,Fail
06/06/2025,21,Male,Lagos,University/polytechnic student,2021,249,English And Literary Studies ,Private,6–10,1–3 months before,No,"Yes, occasionally",No,Fair,Yes,Yes,No,No,No,No,No,Yes,Preparation ,Yes,No,No,No,No,Pass
06/06/2025,25,Male,Lagos,Graduate,2020,222,Banking And Finance ,Private,0–5,Less than 1 month before,Yes,"Yes, regularly",Yes,Excellent,Sometimes,Yes,No,No,No,No,Yes,Not sure,Late studying ,No,Yes,No,No,No,Pass
06/06/2025,20,Female,Anambra,University/polytechnic student,2022,307,Computer Science ,Mission/Religious,11–15,1–3 months before,No,"Yes, regularly",Yes,Good,No,No,No,No,No,Yes,No,Yes,I dunno,Yes,No,No,No,No,Pass
07/06/2025,23,Male,Lagos,University/polytechnic student,2022,160,Electrical Engineering,Private,0–5,Less than 1 month before,No,"Yes, regularly",No,Good,No,No,No,No,No,Yes,No,No,Is not what i study that came out,Yes,No,No,No,No,Fail
07/06/2025,21,Male,Lagos,Jobless ,2022,259,Computer Science,Private,0–5,1–3 months before,No,"Yes, occasionally",No,Good,Yes,Yes,No,Yes,No,No,Yes,No,I didn’t read for chemistry and English ,No,No,No,No,No,Pass
07/06/2025,20,Male,Anambra,University/polytechnic student,2022,222,Computer Science,Mission/Religious,0–5,Less than 1 month before,No,"Yes, occasionally",Yes,Good,Sometimes,Yes,No,No,No,No,No,Yes,Not enough study time ,Yes,No,No,No,No,Pass
07/06/2025,19,Female,Enugu,University/polytechnic student,2022,278,Computer Science ,Private,6–10,More than 6 months before,No,"Yes, regularly",No,Good,Yes,Yes,No,No,No,No,No,Yes,I read and prayed. ,Yes,No,No,No,No,Pass
07/06/2025,20,Female,Enugu,University/polytechnic student,2022,350,Computer Science,Public,6–10,1–3 months before,No,"Yes, occasionally",No,Fair,No,No,No,No,No,Yes,No,Yes,For fun,Yes,No,No,No,No,Pass
07/06/2025,16,Male,Bayelsa,Secondary school student,2025,221,Pharmacy ,Mission/Religious,0–5,4–6 months before,No,"Yes, regularly",No,Good,No,No,No,No,No,Yes,No,No,Nothing ,Yes,No,No,No,No,Pass
07/06/2025,19,Female,Enugu,University/polytechnic student,2022,262,Computer Science ,Federal,6–10,More than 6 months before,Yes,"Yes, regularly",No,Good,Sometimes,Yes,No,No,No,No,Yes,Yes,Natural grasp of the material ,No,No,Yes,No,No,Pass
07/06/2025,21,Male,Ogun,Graduate,2020,314,Mechanical Engineering ,Private,More than 20,More than 6 months before,No,"Yes, regularly",Yes,Excellent,Yes,Yes,No,No,No,No,No,Yes,I started preparing early. God helped with the rest,Yes,No,No,No,No,Pass
08/06/2025,19,Female,Delta,University/polytechnic student,2024,235,Accounting ,Private,11–15,1–3 months before,Yes,"Yes, occasionally",Yes,Good,Yes,Yes,No,No,No,No,No,No,I didn't study hard enough,Yes,No,No,No,No,Pass
08/06/2025,20,Male,Lagos,University/polytechnic student,2022,262,Computer Science ,Private,More than 20,4–6 months before,Yes,"Yes, regularly",Yes,Excellent,Yes,Yes,No,No,No,No,No,Yes,Dedication ,Yes,No,No,No,No,Pass
08/06/2025,21,Male,Anambra,University/polytechnic student,2021,262,Electrical Engineering ,Mission/Religious,11–15,4–6 months before,No,"Yes, regularly",No,Excellent,Sometimes,Yes,Yes,No,No,No,No,Yes,My hardwork and consistency towards my studies ,Yes,No,No,No,No,Pass
09/06/2025,22,Male,Anambra,University/polytechnic student,2021,209,Engineering ,Public,0–5,Less than 1 month before,Yes,"Yes, occasionally",No,Good,Yes,Yes,No,No,No,No,No,Yes,Fixed work and school together ,Yes,No,No,No,No,Pass
09/06/2025,25,Male,Anambra,University/polytechnic student,2021,219,Electrical Engineering ,Public,16–20,Less than 1 month before,Yes,"Yes, occasionally",No,Excellent,Sometimes,Yes,No,No,No,No,No,No,Studying hard,Yes,No,No,No,No,Pass
10/06/2025,19,Female,Enugu,University/polytechnic student,2022,195,Theatre Arts,Private,6–10,Less than 1 month before,Yes,"Yes, occasionally",No,Good,Sometimes,Yes,No,No,No,No,No,Not sure,I don't know ,Yes,No,No,No,No,Fail
10/06/2025,26,Male,Anambra,Graduate,2025,160,Medicine And Surgery ,Public,6–10,More than 6 months before,Yes,"Yes, regularly",No,Good,Yes,Yes,No,No,No,No,Yes,No,System issues ,No,Yes,No,No,No,Fail
10/06/2025,17,Male,Anambra,Graduate,2025,201,Computer Science ,Mission/Religious,6–10,Less than 1 month before,Yes,"Yes, occasionally",Yes,Fair,Sometimes,Yes,No,No,No,No,Yes,Not sure,We where logged out before complete time like 8mins earlier and also the logging out ,No,Yes,Yes,No,No,Pass
10/06/2025,20,Female,Anambra,University/polytechnic student,2021,229,Medicine And Surgery ,Mission/Religious,16–20,4–6 months before,Yes,"Yes, occasionally",No,Good,No,No,No,No,No,Yes,No,No,"Insufficient preparation, Vastness of question bank",Yes,No,No,No,No,Pass
11/06/2025,22,Female,Anambra,University/polytechnic student,2022,196,Early Childhood Education ,Mission/Religious,6–10,More than 6 months before,No,"Yes, regularly",Yes,Excellent,Sometimes,No,No,No,No,Yes,No,Yes,I tried ,Yes,No,No,No,No,Fail
11/06/2025,21,Male,Enugu,University/polytechnic student,2021,214,Electronics And Computer Engineering ,Public,0–5,4–6 months before,Yes,"Yes, regularly",Yes,Good,Sometimes,Yes,No,No,No,No,No,Not sure,Not sure ,Yes,No,No,No,No,Pass
11/06/2025,21,Male,Lagos,University/polytechnic student,2021,241,Electronics And Computer Engineering ,Mission/Religious,0–5,1–3 months before,Yes,"Yes, regularly",No,Excellent,Yes,No,No,Yes,No,No,No,Yes,Studying,Yes,No,No,No,No,Pass
11/06/2025,18,Male,Bayelsa,University/polytechnic student,2024,254,Political Science ,Mission/Religious,0–5,1–3 months before,No,"Yes, regularly",No,Good,Yes,Yes,No,No,No,No,No,Yes,To attend the university ,Yes,No,No,No,No,Pass
11/06/2025,23,Male,Kogi,University/polytechnic student,2021,218,Electrical Engineering ,Public,0–5,Less than 1 month before,No,No,No,Fair,No,No,No,No,No,Yes,No,No,Lack of preparation and access to preparatory materials.,Yes,No,No,No,No,Pass
11/06/2025,17,Male,Kaduna,University/polytechnic student,2024,239,Law,Mission/Religious,0–5,Less than 1 month before,No,"Yes, occasionally",Yes,Good,Yes,Yes,No,Yes,No,No,No,No,Already acquired knowledge ,Yes,No,No,No,No,Pass
11/06/2025,16,Female,Bayelsa,Done with secondary school,2025,167,Nursing,Private,6–10,4–6 months before,Yes,"Yes, occasionally",No,Good,Sometimes,Yes,No,No,No,No,No,No,"Honestly, i think it was a mix of hard work,dedication, and effective study strategies",Yes,No,No,No,No,Fail
11/06/2025,27,Male,Anambra,Graduate,2020,246,Electrical Engineering,Private,11–15,1–3 months before,No,No,No,Excellent,Sometimes,Yes,No,No,No,No,No,Yes,Lack of focus...social media,Yes,No,No,No,No,Pass
11/06/2025,19,Male,Delta,University aspirant,2025,255,Medicine And Surgery ,Private,More than 20,4–6 months before,No,"Yes, regularly",No,Good,Sometimes,Yes,No,No,No,No,No,No,I was curious and trying to be fast to heat the time given,Yes,No,No,No,No,Pass
11/06/2025,22,Female,Anambra,University/polytechnic student,2021,216,Pharmacy,Mission/Religious,6–10,4–6 months before,No,No,No,Fair,Sometimes,No,No,No,No,Yes,Yes,Not sure,Not fully focused ,No,Yes,No,Yes,No,Pass
11/06/2025,21,Male,Rivers,University/polytechnic student,2021,249,Electrical Engineering ,Private,More than 20,More than 6 months before,No,"Yes, regularly",No,Good,Sometimes,Yes,No,No,No,No,No,No,Good study and proper preparation ,Yes,No,No,No,No,Pass
11/06/2025,17,Male,Bayelsa,Graduate,2025,221,Computer Science ,Mission/Religious,16–20,4–6 months before,No,"Yes, regularly",No,Good,Yes,Yes,No,Yes,No,No,Yes,Yes,Reading ,No,No,No,No,Yes,Pass
12/06/2025,24,Female,Bayelsa,Finished secondary school ,2020,194,History ,Mission/Religious,6–10,1–3 months before,Yes,"Yes, occasionally",No,Good,No,Yes,No,No,No,No,No,Not sure,Not enough study,Yes,No,No,No,No,Fail
12/06/2025,19,Female,Anambra,University/polytechnic student,2021,180,Pharmacy ,Mission/Religious,0–5,1–3 months before,No,"Yes, regularly",No,Good,No,No,No,No,No,Yes,Yes,No,Syllabus should be made to make reading easier and they should check the computers before and after exams ,No,Yes,No,No,No,Fail
12/06/2025,21,Male,Anambra,University/polytechnic student,2021,201,Electrical And Electronics Engineering ,Mission/Religious,6–10,1–3 months before,No,"Yes, regularly",No,Good,No,No,No,No,No,Yes,No,Yes,"I will say i prepared for it, and that was the outcome of my preparations and it got me my course i wanted",Yes,No,No,No,No,Pass
12/06/2025,20,Male,Anambra,University/polytechnic student,2021,264,Mechanical Engineering ,Mission/Religious,More than 20,More than 6 months before,No,"Yes, regularly",Yes,Excellent,Yes,No,Yes,No,No,No,No,No,I won't blame any party but I gave it my best.,Yes,No,No,No,No,Pass
12/06/2025,21,Male,Anambra,University/polytechnic student,2023,180,Electrical Engineering ,Mission/Religious,11–15,1–3 months before,Yes,"Yes, occasionally",No,Good,Sometimes,Yes,No,Yes,No,No,No,No,Lack of consistency ,Yes,No,No,No,No,Fail
12/06/2025,18,Female,Anambra,University/polytechnic student,2023,186,Theater Arts,Private,6–10,1–3 months before,No,"Yes, occasionally",Yes,Good,Yes,Yes,No,No,No,No,No,No,Wasn't so prepared ,Yes,No,No,No,No,Fail
12/06/2025,21,Female,Anambra,University/polytechnic student,2020,220,Mass Communication,Mission/Religious,0–5,1–3 months before,Yes,"Yes, regularly",Yes,Good,Yes,No,No,No,Yes,No,No,Yes,Cause i studied hard,Yes,No,No,No,No,Pass
12/06/2025,25,Female,Lagos,University/polytechnic student,2021,210,Early Childhood And Primary Education ,Public,0–5,1–3 months before,No,"Yes, occasionally",No,Fair,Sometimes,Yes,No,No,No,No,No,Not sure,No much material to aid the learning ,Yes,No,No,No,No,Pass
12/06/2025,18,Female,Delta,University/polytechnic student,2024,269,Law,Private,0–5,1–3 months before,Yes,"Yes, regularly",No,Good,Yes,Yes,No,No,No,No,No,Yes,Constitency ,Yes,No,No,No,No,Pass
12/06/2025,19,Male,Anambra,University/polytechnic student,2024,220,Law,Private,11–15,4–6 months before,No,"Yes, regularly",No,Good,No,No,No,No,No,Yes,No,No,Network glitch ,Yes,No,No,No,No,Pass
12/06/2025,19,Male,Anambra,Graduate,2024,260,Law,Mission/Religious,6–10,More than 6 months before,No,"Yes, regularly",Yes,Good,Sometimes,Yes,No,No,No,No,Yes,Not sure,Private ,No,Yes,No,No,No,Pass
12/06/2025,18,Female,Enugu,O'level graduate,2025,246,Nursing ,Private,16–20,4–6 months before,No,"Yes, regularly",No,Excellent,Yes,Yes,No,No,No,No,No,No,Late preparation ,Yes,No,No,No,No,Pass
12/06/2025,18,Female,Rivers,Secondary school student,2025,200,Nursing Science ,Public,6–10,More than 6 months before,No,"Yes, regularly",No,Good,Sometimes,Yes,No,No,No,No,No,Yes,To be able to score a good grade and be a university student ,Yes,No,No,No,No,Pass
13/06/2025,22,Female,Anambra,University/polytechnic student,2021,199,Nursing ,Mission/Religious,16–20,More than 6 months before,No,"Yes, regularly",Yes,Good,Sometimes,No,No,No,No,Yes,Yes,No,I don't know. ,No,No,No,Yes,No,Fail
13/06/2025,20,Female,Anambra,University/polytechnic student,2021,198,Pharmacy ,Mission/Religious,11–15,1–3 months before,No,"Yes, regularly",No,Excellent,No,No,No,No,No,Yes,No,No,I don’t know.. still surprised ,Yes,No,No,No,No,Fail
